postcode,suburb,state,latitude,longitude,dist
2050,Missenden Road,NSW,-33.8892,151.1771,3.16
2050,Camperdown,NSW,-33.8892,151.1771,3.16
2052,Unsw Sydney,NSW,-33.8203,151.1953,5.82
2055,North Sydney,NSW,-33.5,151.13,5.82
2057,Chatswood,NSW,-33.8,151.1833,8.25
2059,North Sydney,NSW,-33.8406,151.2072,3.51
2060,Lavender Bay,NSW,-33.8397,151.2042,3.6
2060,Waverton,NSW,-33.85,151.2,2.49
2060,North Sydney Shoppingworld,NSW,-33.8397,151.2042,3.6
2060,North Sydney,NSW,-33.8469,151.2129,2.91
2060,Mcmahons Point,NSW,-33.8397,151.2042,3.6
2061,Kirribilli,NSW,-33.85,151.2167,2.71
2061,Milsons Point,NSW,-33.8472,151.2144,2.92
2062,Cammeray,NSW,-33.8225,151.2158,5.61
2063,Northbridge,NSW,-33.8109,151.2178,6.92
2064,Artarmon,NSW,-33.8166,151.1833,6.47
2065,Wollstonecraft,NSW,-33.8262,151.1949,5.18
2065,Gore Hill,NSW,-33.8167,151.1825,6.48
2065,Naremburn,NSW,-33.8262,151.1949,5.18
2065,Greenwich,NSW,-33.8406,151.1831,4.02
2065,St Leonards,NSW,-33.8262,151.1949,5.18
2065,Crows Nest,NSW,-33.8191,151.2008,5.9
2065,Royal North Shore Hospital,NSW,-33.8262,151.1949,5.18
2066,Linley Point,NSW,-33.8268,151.1483,7.23
2066,Lane Cove West,NSW,-33.8163,151.1618,7.35
2066,Lane Cove,NSW,-33.8166,151.1666,7.09
2066,Riverview,NSW,-33.8163,151.1618,7.35
2066,Longueville,NSW,-33.8328,151.1664,5.6
2066,Lane Cove North,NSW,-33.8163,151.1618,7.35
2066,Northwood,NSW,-33.8286,151.1808,5.31
2067,Chatswood,NSW,-33.7965,151.1718,8.93
2067,Chatswood West,NSW,-33.7965,151.1718,8.93
2068,Castlecrag,NSW,-33.8,151.2167,8.1
2068,Willoughby,NSW,-33.7996,151.2083,8.07
2068,Middle Cove,NSW,-33.7996,151.2083,8.07
2069,Roseville,NSW,-33.7833,151.1833,10.06
2069,Castle Cove,NSW,-33.7826,151.1955,9.99
2070,East Lindfield,NSW,-33.7664,151.1861,11.87
2070,Lindfield West,NSW,-33.7766,151.17,11.08
2070,Lindfield,NSW,-33.7833,151.1667,10.47
2071,Killara,NSW,-33.7634,151.1667,12.58
2072,Gordon,NSW,-33.75,151.1333,15.08
2073,West Pymble,NSW,-33.7667,151.1333,13.43
2073,Pymble,NSW,-33.75,151.15,14.48
2074,South Turramurra,NSW,-33.746,151.1134,16.35
2074,Turramurra,NSW,-33.7333,151.1333,16.77
2074,Warrawee,NSW,-33.7333,151.1167,17.43
2074,North Turramurra,NSW,-33.7167,151.15,18
2075,St Ives,NSW,-33.7209,151.1708,17.1
2076,Wahroonga,NSW,-33.7167,151.1167,19.09
2076,Normanhurst,NSW,-33.7333,151.1,18.2
2077,Waitara,NSW,-33.7167,151.1167,19.09
2077,Hornsby,NSW,-33.7,151.1,21.43
2077,Asquith,NSW,-33.6833,151.1,23.1
2079,Mount Colah,NSW,-33.6833,151.1167,22.5
2080,Mount Kuring-Gai,NSW,-33.6558,151.1307,25
2081,Cowan,NSW,-33.5895,151.171,31.58
2081,Berowra,NSW,-33.6333,151.15,27.03
2082,Berowra Heights,NSW,-33.6109,151.1375,29.7
2082,Berowra Waters,NSW,-33.6109,151.1375,29.7
2083,Dangar Island,NSW,-33.5394,151.2418,37.16
2083,Milsons Passage,NSW,-33.5561,151.2036,35.14
2083,Mooney Mooney,NSW,-33.5167,151.2,39.52
2083,Brooklyn,NSW,-33.55,151.2333,35.92
2084,Duffys Forest,NSW,-33.6768,151.1999,21.72
2084,Terrey Hills,NSW,-33.6833,151.2333,21.16
2085,Belrose West,NSW,-33.7173,151.232,17.4
2085,Davidson,NSW,-33.7333,151.2,15.44
2085,Belrose,NSW,-33.7333,151.2167,15.48
2086,Frenchs Forest,NSW,-33.7508,151.2251,13.62
2087,Forestville,NSW,-33.7667,151.2083,11.73
2087,Killarney Heights,NSW,-33.7661,151.2132,11.81
2088,Mosman,NSW,-33.8278,151.2333,5.6
2088,Spit Junction,NSW,-33.8291,151.2448,6.06
2089,Neutral Bay,NSW,-33.8389,151.2167,3.86
2089,Neutral Bay Junction,NSW,-33.8358,151.2183,4.24
2090,Cremorne,NSW,-33.8333,151.225,4.72
2090,Cremorne Junction,NSW,-33.83,151.2267,5.11
2092,Seaforth,NSW,-33.8025,151.2397,8.4
2093,Manly Vale,NSW,-33.7951,151.2611,10.04
2093,Clontarf,NSW,-33.8097,151.2567,8.45
2093,Balgowlah,NSW,-33.8,151.2667,9.87
2094,Fairlight,NSW,-33.7941,151.2737,10.78
2095,Manly,NSW,-33.7988,151.2858,11.09
2096,Queenscliff,NSW,-33.7751,151.2859,13.15
2096,Curl Curl,NSW,-33.7667,151.2917,14.23
2096,Harbord,NSW,-33.7751,151.2859,13.15
2097,Collaroy,NSW,-33.7333,151.3,17.78
2097,Wheeler Heights,NSW,-33.7335,151.2955,17.56
2097,Collaroy Beach,NSW,-33.7333,151.3,17.78
2099,Cromer,NSW,-33.7416,151.2762,15.96
2099,North Curl Curl,NSW,-33.7617,151.2957,14.89
2099,Wingala,NSW,-33.7416,151.2762,15.96
2099,Narraweena,NSW,-33.7416,151.2762,15.96
2099,Dee Why,NSW,-33.7416,151.2762,15.96
2100,Brookvale,NSW,-33.7667,151.2667,13.06
2100,Warringah Mall,NSW,-33.7646,151.2561,12.87
2100,Oxford Falls,NSW,-33.7302,151.2482,16.29
2100,Allambie Heights,NSW,-33.7646,151.2561,12.87
2100,North Manly,NSW,-33.7646,151.2561,12.87
2100,Allambie,NSW,-33.7646,151.2561,12.87
2100,Beacon Hill,NSW,-33.7646,151.2561,12.87
2101,Narrabeen,NSW,-33.7083,151.3,20.24
2101,Elanora Heights,NSW,-33.69,151.2741,21.25
2101,Ingleside,NSW,-33.69,151.2741,21.25
2102,Warriewood,NSW,-33.6883,151.2925,22
2102,Warriewood Shopping Square,NSW,-33.6883,151.2925,22
2103,Mona Vale,NSW,-33.6667,151.3,24.49
2104,Bayview,NSW,-33.6613,151.2914,24.78
2105,Scotland Island,NSW,-33.6499,151.283,25.75
2105,Elvina Bay,NSW,-33.6499,151.283,25.75
2105,Church Point,NSW,-33.6499,151.283,25.75
2105,Lovett Bay,NSW,-33.6499,151.283,25.75
2106,Newport,NSW,-33.6667,151.3167,25.09
2106,Newport Beach,NSW,-33.6569,151.3155,26.04
2107,Whale Beach,NSW,-33.6167,151.3333,30.8
2107,Bilgola,NSW,-33.6321,151.3243,28.9
2107,Avalon Beach,NSW,-33.6321,151.3243,28.9
2107,Careel Bay,NSW,-33.6321,151.3243,28.9
2108,Palm Beach,NSW,-33.6089,151.2646,29.79
2108,The Basin,NSW,-33.6089,151.2646,29.79
2109,Macquarie University,NSW,-33.7716,151.1138,13.96
2110,Woolwich,NSW,-33.85,151.1667,4.26
2110,Hunters Hill,NSW,-33.8333,151.1408,7.29
2111,Tennyson Point,NSW,-33.8295,151.1275,8.54
2111,Huntleys Point,NSW,-33.8401,151.146,6.46
2111,Henley,NSW,-33.8295,151.1275,8.54
2111,Gladesville,NSW,-33.8333,151.1333,7.86
2111,Monash Park,NSW,-33.8295,151.1275,8.54
2111,Huntleys Cove,NSW,-33.8295,151.1275,8.54
2112,Denistone East,NSW,-33.7972,151.0975,12.92
2112,Putney,NSW,-33.8122,151.1099,10.98
2112,Ryde,NSW,-33.8136,151.0964,11.91
2113,North Ryde,NSW,-33.7912,151.1298,11.33
2113,East Ryde,NSW,-33.8138,151.1403,8.78
2113,Macquarie Centre,NSW,-33.7912,151.1298,11.33
2113,Blenheim Road,NSW,-33.7912,151.1298,11.33
2113,Macquarie Park,NSW,-33.7912,151.1298,11.33
2114,West Ryde,NSW,-33.8071,151.0841,13.25
2114,Denistone West,NSW,-33.8071,151.0841,13.25
2114,Meadowbank,NSW,-33.8071,151.0841,13.25
2114,Melrose Park,NSW,-33.8071,151.0841,13.25
2114,Denistone,NSW,-33.8071,151.0841,13.25
2115,Ermington,NSW,-33.8124,151.0613,14.79
2116,Rydalmere,NSW,-33.8,151.05,16.36
2117,Telopea,NSW,-33.7958,151.041,17.31
2117,Dundas,NSW,-33.7958,151.041,17.31
2117,Oatlands,NSW,-33.7958,151.041,17.31
2118,Carlingford,NSW,-33.7833,151.05,17.35
2118,Carlingford Court,NSW,-33.7776,151.0418,18.33
2118,Kingsdene,NSW,-33.7776,151.0418,18.33
2119,Cheltenham,NSW,-33.7543,151.065,18.37
2119,Beecroft,NSW,-33.7543,151.065,18.37
2120,Thornleigh,NSW,-33.7333,151.0833,19.06
2120,Westleigh,NSW,-33.7268,151.0758,20.06
2120,Pennant Hills,NSW,-33.7333,151.0667,20
2121,Epping,NSW,-33.7833,151.0833,14.92
2122,Marsfield,NSW,-33.7842,151.0922,14.25
2122,Eastwood,NSW,-33.8,151.0833,13.76
2123,Parramatta,NSW,-33.8167,151,19.86
2124,Parramatta,NSW,-33.8167,151,19.86
2125,West Pennant Hills,NSW,-33.7486,151.0338,20.9
2126,Cherrybrook,NSW,-33.7223,151.046,22.17
2127,Newington,NSW,-33.8396,151.0545,14.31
2127,Homebush Bay,NSW,-33.8396,151.0545,14.31
2128,Silverwater,NSW,-33.8371,151.0391,15.75
2129,Sydney Markets,NSW,-33.7806,151.0528,17.31
2130,Summer Hill,NSW,-33.892,151.1379,6.53
2131,Ashfield,NSW,-33.8833,151.1167,8.19
2132,Croydon,NSW,-33.8833,151.1167,8.19
2133,Enfield South,NSW,-33.8972,151.1032,9.75
2133,Croydon Park,NSW,-33.8972,151.1032,9.75
2134,Burwood,NSW,-33.8833,151.1,9.72
2135,Strathfield,NSW,-33.8667,151.1,9.66
2136,Enfield,NSW,-33.8901,151.0983,10
2136,Strathfield South,NSW,-33.8917,151.083,11.42
2136,Burwood Heights,NSW,-33.8901,151.0983,10
2137,Concord,NSW,-33.8667,151.1,9.66
2137,Cabarita,NSW,-33.8552,151.1039,9.47
2137,North Strathfield,NSW,-33.8575,151.092,10.5
2137,Mortlake,NSW,-33.85,151.1167,8.46
2138,Concord West,NSW,-33.8404,151.0896,11.17
2138,Rhodes,NSW,-33.8333,151.0833,11.99
2139,Concord Repatriation Hospital,NSW,-33.8667,151.1042,9.27
2140,Homebush,NSW,-33.8667,151.0833,11.2
2141,Berala,NSW,-33.8719,151.031,16.01
2141,Lidcombe,NSW,-33.865,151.0444,14.79
2142,Camellia,NSW,-33.8332,151.0198,17.59
2142,Holroyd,NSW,-33.8298,150.9933,20.05
2142,Blaxcell,NSW,-33.8332,151.0198,17.59
2142,Granville,NSW,-33.8333,151.0167,17.86
2142,Rosehill,NSW,-33.8333,151.0167,17.86
2143,Potts Hill,NSW,-33.8881,151.0251,16.65
2143,Regents Park,NSW,-33.8833,151.0167,17.37
2143,Birrong,NSW,-33.8881,151.0251,16.65
2144,Auburn,NSW,-33.85,151.0333,15.99
2145,Greystanes,NSW,-33.8137,150.9589,23.58
2145,Pemulwuy,NSW,-33.8219,150.9238,26.51
2145,Girraween,NSW,-33.8137,150.9589,23.58
2145,Wentworthville,NSW,-33.8167,150.9667,22.8
2145,Mays Hill,NSW,-33.8207,150.9905,20.56
2145,Westmead,NSW,-33.8167,150.9833,21.33
2145,Pendle Hill,NSW,-33.8,150.95,24.83
2146,Toongabbie East,NSW,-33.7898,150.9562,24.68
2146,Toongabbie,NSW,-33.7833,150.95,25.49
2146,Old Toongabbie,NSW,-33.7898,150.9562,24.68
2147,Kings Langley,NSW,-33.7421,150.9227,29.77
2147,Seven Hills West,NSW,-33.7684,150.9365,27.3
2147,Seven Hills,NSW,-33.7833,150.9333,26.92
2147,Lalor Park,NSW,-33.7684,150.9365,27.3
2148,Marayong,NSW,-33.7462,150.8983,31.56
2148,Prospect,NSW,-33.7896,150.9,29.58
2148,Blacktown,NSW,-33.7667,150.9167,29.05
